OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU0449	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__TK10	f__	g__	s__
OTU0450	k__Bacteria	p__Chloroflexi	c__Ktedonobacteria	o__Thermogemmatisporales	f__Thermogemmatisporaceae	g__	s__
OTU0451	k__Bacteria	p__Chloroflexi	c__P2-11E	o__	f__	g__	s__
OTU0452	k__Bacteria	p__Chloroflexi	c__S085	o__	f__	g__	s__
OTU0453	k__Bacteria	p__Chloroflexi	c__SAR202	o__	f__	g__	s__
OTU0454	k__Bacteria	p__Chloroflexi	c__SHA-26	o__	f__	g__	s__
OTU0455	k__Bacteria	p__Chloroflexi	c__TK10	o__	f__	g__	s__
OTU0456	k__Bacteria	p__Chloroflexi	c__TK10	o__AKYG885	f__5B-12	g__	s__
OTU0457	k__Bacteria	p__Chloroflexi	c__TK10	o__AKYG885	f__	g__	s__
OTU0458	k__Bacteria	p__Chloroflexi	c__TK10	o__AKYG885	f__Dolo_23	g__	s__
OTU0459	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	__	__	__
OTU0460	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	f__	g__	s__
OTU0461	k__Bacteria	p__Chloroflexi	c__TK10	o__B07_WMSP1	f__FFCH4570	g__	s__
OTU0462	k__Bacteria	p__Chloroflexi	c__TK17	o__	f__	g__	s__
OTU0463	k__Bacteria	p__Chloroflexi	c__TK17	o__mle1-48	f__	g__	s__
OTU0464	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__	f__	g__	s__
OTU0465	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__AKYG1722	f__	g__	s__
OTU0466	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__Ellin6537	f__	g__	s__
OTU0467	k__Bacteria	p__Chloroflexi	c__Thermomicrobia	o__JG30-KF-CM45	f__	g__	s__
OTU0468	k__Bacteria	p__Cyanobacteria	__	__	__	__	__
OTU0469	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__MLE1-12	f__	g__	s__
OTU0470	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__SM1D11	f__	g__	s__
OTU0471	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__SM2F09	f__	g__	s__
OTU0472	k__Bacteria	p__Cyanobacteria	c__4C0d-2	o__YS2	f__	g__	s__
OTU0473	k__Bacteria	p__Cyanobacteria	c__	o__	f__	g__	s__
OTU0474	k__Bacteria	p__Cyanobacteria	c__Chloroplast	__	__	__	__
OTU0475	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__	f__	g__	s__
OTU0476	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__	g__	s__
OTU0477	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Chlamydomonadaceae	__	__
OTU0478	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Trebouxiophyceae	g__Coccomyxa	s__solorinae-saccatae
OTU0479	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Chlorophyta	f__Trebouxiophyceae	g__Coccomyxa	s__subellipsoidea
OTU0480	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Euglenozoa	f__	g__	s__
OTU0481	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Stramenopiles	f__	g__	s__
OTU0482	k__Bacteria	p__Cyanobacteria	c__Chloroplast	o__Streptophyta	f__	g__	s__
OTU0483	k__Bacteria	p__Cyanobacteria	c__ML635J-21	o__	f__	g__	s__
OTU0484	k__Bacteria	p__Cyanobacteria	c__Nostocophycideae	o__Nostocales	f__Nostocaceae	__	__
OTU0485	k__Bacteria	p__Cyanobacteria	c__Nostocophycideae	o__Nostocales	f__Nostocaceae	g__	s__
OTU0486	k__Bacteria	p__Cyanobacteria	c__Nostocophycideae	o__Nostocales	f__Nostocaceae	g__Cylindrospermopsis	s__
OTU0487	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	__	__
OTU0488	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	o__Oscillatoriales	f__Phormidiaceae	g__Phormidium	s__
OTU0489	k__Bacteria	p__Cyanobacteria	c__Synechococcophycideae	o__Pseudanabaenales	f__Pseudanabaenaceae	g__Pseudanabaena	s__
OTU0490	k__Bacteria	p__Elusimicrobia	__	__	__	__	__
OTU0491	k__Bacteria	p__Elusimicrobia	c__	o__	f__	g__	s__
OTU0492	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__	f__	g__	s__
OTU0493	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__Elusimicrobiales	f__	g__	s__
OTU0494	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__FAC88	f__	g__	s__
OTU0495	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__IIb	f__	g__	s__
OTU0496	k__Bacteria	p__Elusimicrobia	c__Elusimicrobia	o__MVP-88	f__	g__	s__
OTU0497	k__Bacteria	p__Elusimicrobia	c__Endomicrobia	o__	f__	g__	s__
OTU0498	k__Bacteria	p__FBP	c__	o__	f__	g__	s__
OTU0499	k__Bacteria	p__FCPU426	c__	o__	f__	g__	s__
OTU0500	k__Bacteria	p__Fibrobacteres	c__Fibrobacteria	o__258ds10	f__	g__	s__
OTU0501	k__Bacteria	p__Fibrobacteres	c__TG3	o__TG3-1	f__TSCOR003-O20	g__	s__
OTU0502	k__Bacteria	p__Firmicutes	__	__	__	__	__
OTU0503	k__Bacteria	p__Firmicutes	c__Bacilli	__	__	__	__
OTU0504	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	__	__	__
OTU0505	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__	g__	s__
OTU0506	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	__	__
OTU0507	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__	s__
OTU0508	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	__
OTU0509	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__
OTU0510	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__acidiphilus
OTU0511	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__aeris
OTU0512	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__fastidiosus
OTU0513	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__hesperidum
OTU0514	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__macrosporangiidus
OTU0515	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Alicyclobacillaceae	g__Alicyclobacillus	s__pomorum
OTU0516	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	__	__
OTU0517	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	__
OTU0518	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__
OTU0519	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__acidicola
OTU0520	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__badius
OTU0521	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__clausii
OTU0522	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__coagulans
OTU0523	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__firmus
OTU0524	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__flexus
OTU0525	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__foraminis
OTU0526	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__longiquaesitum
OTU0527	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__mannanilyticus
OTU0528	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__muralis
OTU0529	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__oleronius
OTU0530	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__selenatarsenatis
OTU0531	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__thermoamylovorans
OTU0532	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	s__
OTU0533	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Geobacillus	s__vulcani
OTU0534	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Oceanobacillus	s__chironomi
OTU0535	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Terribacillus	s__
OTU0536	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	__	__
OTU0537	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__	s__
OTU0538	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Ammoniphilus	s__
OTU0539	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Aneurinibacillus	__
OTU0540	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Aneurinibacillus	s__
OTU0541	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Aneurinibacillus	s__migulanus
OTU0542	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Brevibacillus	__
OTU0543	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Brevibacillus	s__
OTU0544	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Brevibacillus	s__reuszeri
OTU0545	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Cohnella	s__
OTU0546	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	__
OTU0547	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__
OTU0548	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__amylolyticus
OTU0549	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__chondroitinus
OTU0550	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__curdlanolyticus
OTU0551	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__edaphicus
OTU0552	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__hodogayensis
OTU0553	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__larvae
OTU0554	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__lautus
OTU0555	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__macerans
OTU0556	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Paenibacillaceae	g__Paenibacillus	s__mucilaginosus
OTU0557	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Pasteuriaceae	__	__
OTU0558	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Pasteuriaceae	g__Pasteuria	s__
OTU0559	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	__	__
OTU0560	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Aeribacillus	s__pallidus
OTU0561	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	o_bacillales_g__Bacillus	__
OTU0562	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Chryseomicrobium	s__imtechense
OTU0563	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Paenisporosarcina	s__
OTU0564	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Rummeliibacillus	s__
OTU0565	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Sporosarcina	__
OTU0566	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Sporolactobacillaceae	__	__
OTU0567	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Sporolactobacillaceae	g__	s__
OTU0568	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Sporolactobacillaceae	g__Pullulanibacillus	s__
OTU0569	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Sporolactobacillaceae	g__Sporolactobacillus	s__
OTU0570	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Jeotgalicoccus	s__
OTU0571	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	__
OTU0572	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__equorum
OTU0573	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pettenkoferi
OTU0574	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	__	__
OTU0575	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__	s__
OTU0576	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Laceyella	s__
OTU0577	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Planifilum	s__
OTU0578	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Shimazuella	s__
OTU0579	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Thermoactinomyces	s__
OTU0580	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Thermoactinomycetaceae	g__Thermoflavimicrobium	s__dichotomicum
OTU0581	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__[Exiguobacteraceae]	g__Exiguobacterium	s__
OTU0582	k__Bacteria	p__Firmicutes	c__Bacilli	o__Gemellales	f__Gemellaceae	__	__
OTU0583	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	__	__
OTU0584	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__	s__
OTU0585	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Aerococcus	s__
OTU0586	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Alloiococcus	s__
OTU0587	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Alloiococcus	s__otitis
OTU0588	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Granulicatella	s__
OTU0589	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	__	__
OTU0590	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__
OTU0591	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__cecorum
OTU0592	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__	s__
OTU0593	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__
OTU0594	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__helveticus
OTU0595	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__salivarius
OTU0596	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__vaginalis
OTU0597	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Leuconostocaceae	g__Leuconostoc	s__
OTU0598	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus	s__
OTU0599	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	__
OTU0600	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__
OTU0601	k__Bacteria	p__Firmicutes	c__Clostridia	__	__	__	__
OTU0602	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	__	__	__
OTU0603	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	g__	s__
OTU0604	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Christensenellaceae	g__	s__
OTU0605	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	__	__
OTU0606	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__	s__
OTU0607	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Caloramator	s__
OTU0608	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	__
OTU0609	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__
OTU0610	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__bowmanii
OTU0611	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__butyricum
OTU0612	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__cellulovorans
OTU0613	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__gasigenes
OTU0614	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__thermopalmarium
OTU0615	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f_Clostridiaceae_g__Clostridium	s__tyrobutyricum
OTU0616	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Oxobacter	s__
OTU0617	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Proteiniclasticum	s__
OTU0618	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Thermoanaerobacterium	s__
OTU0619	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Thermoanaerobacterium	g__Thermoanaerobacterium_s__saccharolyticum
OTU0620	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Dehalobacteriaceae	g__	s__
OTU0621	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Dehalobacteriaceae	g__Dehalobacterium	s__
OTU0622	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__	s__
OTU0623	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Acetobacterium	s__
OTU0624	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Anaerofustis	s__
OTU0625	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Gracilibacteraceae	g__	s__
OTU0626	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Gracilibacteraceae	g__Gracilibacter	s__
OTU0627	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	__	__
OTU0628	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__	s__
OTU0629	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__
OTU0630	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f_Lachnospiraceae_g__Clostridium	__
OTU0631	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f_Lachnospiraceae_g__Clostridium	s__colinum
OTU0632	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	f_Lachnospiraceae_g__Clostridium	s__saccharolyticum
OTU0633	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__
OTU0634	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__eutactus
OTU0635	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	__	__
OTU0636	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__	s__
OTU0637	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__Dehalobacter_Syntrophobotulus	s__
OTU0638	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__Desulfosporosinus	s__
OTU0639	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__Desulfosporosinus	s__meridiei
OTU0640	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__Desulfurispora	s__
OTU0641	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__WCHB1-84	s__
OTU0642	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	__	__
OTU0643	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__	s__
OTU0644	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Peptostreptococcus	s__
OTU0645	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Tepidibacter	s__
OTU0646	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	__	__
OTU0647	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__	s__
OTU0648	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	__
OTU0649	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	s__cellobioparum
OTU0650	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	s__hungatei
OTU0651	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Clostridium	s__papyrosolvens
OTU0652	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ethanoligenens	s__
OTU0653	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__prausnitzii
OTU0654	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__
OTU0655	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Symbiobacteriaceae	g__Symbiobacterium	s__
OTU0656	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Symbiobacteriaceae	g__Symbiobacterium	s__thermophilum
OTU0657	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Syntrophomonadaceae	g__Syntrophomonas	s__
OTU0658	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	__	__
OTU0659	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__	s__
OTU0660	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Megamonas	s__
OTU0661	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Pelosinus	s__
OTU0662	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Phascolarctobacterium	s__
OTU0663	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Sporomusa	s__
OTU0664	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Veillonella	s__
OTU0665	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Veillonella	s__parvula
OTU0666	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__	s__
OTU0667	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__Anaerovorax	s__
OTU0668	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__Mogibacterium	s__
OTU0669	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__	s__
OTU0670	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Anaerococcus	s__
OTU0671	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Finegoldia	s__
OTU0672	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Peptoniphilus	s__
OTU0673	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Sedimentibacter	s__
OTU0674	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Sporanaerobacter	s__
OTU0675	k__Bacteria	p__Firmicutes	c__Clostridia	o__Natranaerobiales	f__	g__	s__
