Sample	coreID	depth	Site	length	location	drying	rep	saturation	Unassigned;__	k__Archaea;p__Crenarchaeota	k__Archaea;p__Euryarchaeota	k__Archaea;p__[Parvarchaeota]	k__Bacteria;__	k__Bacteria;p__	k__Bacteria;p__AD3	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BHI80-139	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__FBP	k__Bacteria;p__FCPU426	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__GAL15	k__Bacteria;p__GN02	k__Bacteria;p__GN04	k__Bacteria;p__GOUTA4	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Kazan-3B-28	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__MVP-21	k__Bacteria;p__NC10	k__Bacteria;p__NKB19	k__Bacteria;p__Nitrospirae	k__Bacteria;p__OC31	k__Bacteria;p__OD1	k__Bacteria;p__OP1	k__Bacteria;p__OP11	k__Bacteria;p__OP3	k__Bacteria;p__OP8	k__Bacteria;p__PAUC34f	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__SBR1093	k__Bacteria;p__SC4	k__Bacteria;p__SR1	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__WPS-2	k__Bacteria;p__WS1	k__Bacteria;p__WS2	k__Bacteria;p__WS3	k__Bacteria;p__WS5	k__Bacteria;p__ZB3	k__Bacteria;p__[Caldithrix]	k__Bacteria;p__[Thermi]
DOC_160	S84	0-5cm	SR	90d		CW	r2	instant chemistry	0	0	0	0	20	16	0	4384	1840	47	0	0	181	6	14	1530	0	0	0	0	0	12	0	0	0	0	0	177	0	0	0	0	0	208	0	0	0	0	0	0	0	1142	3350	0	0	0	0	0	3	0	1690	0	0	0	99	0	0	0	0
DOC_161	S32	0-5cm	SR	90d		CW	r3	instant chemistry	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_162	S21	0-5cm	SR	90d		FAD	r1	instant chemistry	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_163	S47	0-5cm	SR	90d		FAD	r2	instant chemistry	0	25	2	2	15	4	0	2598	960	11	0	0	103	0	3	671	0	9	0	0	0	52	0	0	0	0	0	89	0	0	0	0	0	217	0	0	0	0	0	0	0	481	2138	0	0	0	0	0	0	0	592	0	0	0	28	0	0	0	0
DOC_164	S89	0-5cm	SR	90d		FAD	r3	instant chemistry	0	36	0	0	35	52	0	9849	2480	42	0	4	528	9	78	2330	0	0	0	0	3	24	0	0	0	7	0	389	0	0	0	0	0	520	0	0	0	0	2	0	0	2157	5602	0	0	0	0	2	0	0	1988	0	0	3	231	0	0	0	0
DOC_165	S91	5cm-end	SR	30d		CW	r1	instant chemistry	0	0	0	0	14	15	0	3857	843	26	0	0	116	0	0	747	0	0	0	0	0	7	0	0	0	0	0	214	0	0	0	0	0	602	0	0	0	0	0	0	0	790	2273	0	0	0	0	12	0	0	1364	0	0	0	48	0	0	0	0
DOC_166	S24	5cm-end	SR	30d		CW	r2	instant chemistry	0	16	0	5	2	23	2	1208	444	30	0	0	33	0	33	497	0	0	0	0	0	23	0	0	0	8	0	68	0	0	0	4	0	202	0	0	0	3	4	8	0	123	1714	4	0	0	20	3	0	0	362	0	3	0	42	0	0	0	0
DOC_167	S81	5cm-end	SR	30d		CW	r3	instant chemistry	0	4	0	0	4	12	0	2246	503	17	0	0	99	0	0	405	0	0	0	0	0	11	0	0	0	0	0	78	0	0	0	0	0	278	0	0	0	0	0	0	0	420	1469	0	0	0	0	2	0	0	799	0	0	0	24	0	0	0	0
DOC_168	S45	5cm-end	SR	30d		FAD	r1	instant chemistry	0	65	0	0	0	0	0	68	1481	0	0	0	0	0	0	0	78	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3735	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14
DOC_169	S43	5cm-end	SR	30d		FAD	r2	instant chemistry	0	409	3	9	58	74	5	17504	8126	201	0	9	509	2	70	5064	8	65	0	12	0	260	0	0	3	12	0	884	0	0	2	8	0	2586	0	2	5	0	15	0	0	4414	16185	32	0	0	20	38	0	0	5527	0	2	3	485	0	3	0	0
DOC_170	S79	5cm-end	SR	30d		FAD	r3	instant chemistry	0	3	0	0	79	16	9	7458	2696	41	0	0	546	7	24	1613	3	2	0	0	0	39	0	0	0	5	0	411	0	0	0	0	0	468	0	0	0	0	0	0	0	2257	7471	0	0	0	0	17	0	0	4369	0	0	0	175	0	0	0	0
DOC_171	S95	5cm-end	SR	90d		CW	r1	instant chemistry	0	0	0	3	0	0	0	0	59	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
DOC_172	S84	5cm-end	SR	90d		CW	r2	instant chemistry	0	23	0	0	30	57	5	10859	2430	239	0	2	247	10	29	5696	0	14	0	0	0	106	0	0	0	0	0	897	0	0	0	0	0	992	0	0	0	0	0	0	0	5490	11966	0	0	0	0	70	0	0	5874	0	0	0	244	0	3	0	0
DOC_173	S32	5cm-end	SR	90d		CW	r3	instant chemistry	0	238	11	5	27	56	0	9941	4618	107	0	8	266	7	100	3479	6	58	0	12	16	201	0	0	0	7	2	406	0	0	0	58	0	1557	7	2	0	0	19	8	2	1716	12979	0	12	0	42	25	4	0	2707	0	0	6	295	0	0	0	0
DOC_174	S21	5cm-end	SR	90d		FAD	r1	instant chemistry	0	0	0	0	0	5	0	0	40	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
DOC_175	S47	5cm-end	SR	90d		FAD	r2	instant chemistry	0	0	0	0	10	21	0	1877	904	15	0	0	68	3	0	595	0	13	0	0	0	19	0	0	0	3	0	75	0	0	0	0	2	174	0	5	0	0	2	0	0	354	1568	0	0	0	0	2	0	0	373	0	0	0	40	0	0	0	0
DOC_176	S89	5cm-end	SR	90d		FAD	r3	instant chemistry	0	74	0	0	61	81	29	14901	5814	165	0	14	1020	0	127	5311	6	4	0	8	0	32	0	0	0	0	0	757	0	0	0	0	11	1164	0	5	0	0	4	0	0	4958	11526	0	0	0	5	3	0	0	4242	0	0	0	501	0	0	0	0
DOC_177	C67	0-5cm	CPCRW	timezero	na	na	na	timezero	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_178	C73	0-5cm	CPCRW	timezero	na	na	na	timezero	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_179	C81	0-5cm	CPCRW	timezero	na	na	na	timezero	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_180	C29	0-5cm	CPCRW	timezero	na	na	na	timezero	0	94	0	0	22	25	6	9482	3413	171	0	3	541	18	78	1881	69	50	0	15	0	162	0	0	6	10	0	436	0	0	0	0	0	887	0	4	0	0	2	0	0	1830	11471	6	5	0	11	29	13	0	3737	29	0	0	202	0	0	0	0
DOC_181	C67	5cm-end	CPCRW	timezero	na	na	na	timezero	0	34	0	0	5	0	44	1750	1009	0	0	0	220	0	0	446	15	27	0	0	0	71	0	0	8	0	0	285	0	0	0	0	0	175	0	17	0	0	0	0	9	245	5058	0	0	0	0	0	0	0	799	0	0	0	33	0	0	0	0
DOC_182	C73	5cm-end	CPCRW	timezero	na	na	na	timezero	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOC_183	C81	5cm-end	CPCRW	timezero	na	na	na	timezero	0	52	0	3	22	36	137	4012	1368	39	0	6	911	13	38	914	14	12	0	0	7	169	0	0	0	0	0	1486	0	0	0	0	4	863	0	62	0	9	14	3	0	136	9486	0	0	0	0	13	78	0	2901	0	0	0	39	0	0	0	0
DOC_184	C29	5cm-end	CPCRW	timezero	na	na	na	timezero	0	0	0	0	47	0	17	3414	1081	98	0	4	1339	26	16	99	29	73	8	49	0	347	0	0	0	0	0	483	0	0	0	0	0	3	0	14	0	0	0	0	0	1315	10840	0	0	0	0	30	37	0	3833	53	0	0	0	0	0	0	0
DOC_185	S58	0-5cm	SR	timezero	na	na	na	timezero	0	7	0	0	8	31	0	7334	710	13	0	4	1442	12	60	408	0	62	0	19	0	30	0	0	0	17	0	283	0	0	0	0	0	530	0	0	0	0	4	0	0	987	7216	0	0	0	8	40	0	5	2042	0	0	0	449	0	0	0	0
DOC_186	S25	0-5cm	SR	timezero	na	na	na	timezero	0	28	0	0	10	13	0	1003	5340	46	0	4	898	0	6	606	10	0	0	0	0	2869	0	0	0	0	0	267	0	0	0	0	0	68	0	0	0	0	0	0	0	944	10924	0	0	0	0	5	24	0	482	0	0	0	5	0	0	0	0
DOC_187	S92	0-5cm	SR	timezero	na	na	na	timezero	0	13	0	0	20	46	0	6442	346	10	0	4	985	9	26	347	5	14	0	14	3	0	0	0	0	0	0	394	0	0	0	0	0	699	0	6	0	3	5	0	0	714	5575	0	0	0	5	11	3	0	847	0	0	0	243	0	0	0	0
DOC_188	S58	5cm-end	SR	timezero	na	na	na	timezero	0	78	0	2	48	119	91	12118	2169	78	0	0	2730	35	85	1555	21	44	0	64	0	12	0	0	0	20	0	1016	0	0	0	2	0	2149	0	12	0	0	0	0	0	3081	14049	0	0	0	11	39	12	0	3673	0	0	0	905	0	0	0	0
DOC_189	S25	5cm-end	SR	timezero	na	na	na	timezero	0	312	0	2	10	11	0	2044	6860	77	0	9	8732	5	6	1079	45	10	0	0	0	4904	0	0	0	0	0	172	0	0	0	3	0	121	0	0	0	0	0	0	0	1484	18586	4	11	0	0	0	0	2	1335	0	0	0	10	0	0	0	0
DOC_190	S92	5cm-end	SR	timezero	na	na	na	timezero	0	99	0	6	35	78	11	10356	419	13	0	0	1337	115	42	708	0	18	0	10	0	20	0	0	6	6	0	650	0	0	0	0	0	1872	0	7	0	4	0	0	0	1018	8245	0	0	0	8	26	0	0	1326	2	0	0	411	0	0	0	0
